,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
34,igain,anova,9,0.098,8.0,0.056,19.0,0.043,128.0,0.012,413.0,0.296,5.0,0.046,19.0,0.01,148.0,0.0,445.0,109.0,129.0,285.0,297.0,2.988
24,pearson,igain,9,0.125,5.0,0.05,19.0,0.023,148.0,0.003,445.0,0.098,8.0,0.056,19.0,0.043,128.0,0.012,413.0,129.0,109.0,297.0,285.0,2.987
41,chi2,anova,9,0.691,8.0,0.402,19.0,0.314,122.0,0.089,409.0,0.296,5.0,0.046,19.0,0.01,148.0,0.0,445.0,103.0,129.0,287.0,297.0,2.968
38,gini,anova,9,0.083,8.0,0.049,19.0,0.038,122.0,0.011,409.0,0.296,5.0,0.046,19.0,0.01,148.0,0.0,445.0,103.0,129.0,287.0,297.0,2.968
25,pearson,gini,9,0.125,5.0,0.05,19.0,0.023,148.0,0.003,445.0,0.083,8.0,0.049,19.0,0.038,122.0,0.011,409.0,129.0,103.0,297.0,287.0,2.966
26,pearson,chi2,9,0.125,5.0,0.05,19.0,0.023,148.0,0.003,445.0,0.691,8.0,0.402,19.0,0.314,122.0,0.089,409.0,129.0,103.0,297.0,287.0,2.966
0,su,fechner,9,0.03,8.0,0.019,19.0,0.017,66.0,0.002,481.0,0.112,5.0,0.049,18.0,0.021,154.0,0.0,494.0,47.0,136.0,415.0,340.0,2.964
19,spearman,gini,9,0.134,5.0,0.052,19.0,0.022,160.0,0.003,440.0,0.083,8.0,0.049,19.0,0.04,108.0,0.011,409.0,141.0,89.0,280.0,301.0,2.946
20,spearman,chi2,9,0.134,5.0,0.052,19.0,0.022,160.0,0.003,440.0,0.691,8.0,0.402,19.0,0.325,108.0,0.089,409.0,141.0,89.0,280.0,301.0,2.946
18,spearman,igain,9,0.134,5.0,0.052,19.0,0.022,160.0,0.003,440.0,0.098,8.0,0.056,19.0,0.046,105.0,0.012,413.0,141.0,86.0,280.0,308.0,2.942
11,fechner,igain,9,0.112,5.0,0.049,18.0,0.021,154.0,0.0,494.0,0.098,8.0,0.056,19.0,0.05,60.0,0.003,479.0,136.0,41.0,340.0,419.0,2.928
1,su,spearman,9,0.03,8.0,0.019,19.0,0.017,79.0,0.006,399.0,0.134,5.0,0.052,19.0,0.022,160.0,0.003,440.0,60.0,141.0,320.0,280.0,2.848
12,fechner,gini,9,0.112,5.0,0.049,18.0,0.024,128.0,0.0,494.0,0.083,8.0,0.049,19.0,0.044,53.0,0.003,477.0,110.0,34.0,366.0,424.0,2.835
13,fechner,chi2,9,0.112,5.0,0.049,18.0,0.024,128.0,0.0,494.0,0.691,8.0,0.402,19.0,0.363,53.0,0.017,477.0,110.0,34.0,366.0,424.0,2.835
2,su,pearson,9,0.03,8.0,0.019,19.0,0.017,79.0,0.006,399.0,0.125,5.0,0.05,19.0,0.023,148.0,0.003,445.0,60.0,129.0,320.0,297.0,2.828
