,left_name,right_name,feature_difference,left_max_value,left_max_ind,left_min_value,left_min_ind,right_on_left_max_value,right_on_left_max_ind,right_on_left_min_value,right_on_left_min_ind,right_max_value,right_max_ind,right_min_value,right_min_ind,left_on_right_max_value,left_on_right_max_ind,left_on_right_min_value,left_on_right_min_ind,diff_left_outer,diff_right_outer,diff_left_inner,diff_right_inner,distance
6,su,reliefF,17,0.117,0.0,0.09,19.0,0.085,24.0,0.022,919.0,0.179,0.0,0.138,19.0,0.138,20.0,0.034,279.0,5.0,1.0,895.0,259.0,6.696
21,spearman,reliefF,13,0.493,0.0,0.356,19.0,0.351,21.0,0.068,359.0,0.179,0.0,0.138,19.0,0.138,20.0,0.056,207.0,2.0,1.0,338.0,187.0,2.408
43,reliefF,anova,13,0.179,0.0,0.138,19.0,0.138,20.0,0.056,207.0,1.0,0.0,0.479,19.0,0.471,20.0,0.015,352.0,1.0,1.0,187.0,332.0,2.389
27,pearson,reliefF,13,0.466,0.0,0.342,19.0,0.34,20.0,0.065,352.0,0.179,0.0,0.138,19.0,0.138,20.0,0.056,207.0,1.0,1.0,332.0,187.0,2.387
32,igain,reliefF,12,0.177,0.0,0.117,19.0,0.115,20.0,0.047,442.0,0.179,0.0,0.138,19.0,0.138,20.0,0.069,176.0,1.0,1.0,422.0,156.0,2.071
39,chi2,reliefF,12,1.0,0.0,0.664,19.0,0.658,21.0,0.24,376.0,0.179,0.0,0.138,19.0,0.138,20.0,0.069,176.0,2.0,1.0,355.0,156.0,2.036
36,gini,reliefF,12,0.152,0.0,0.102,19.0,0.101,21.0,0.04,376.0,0.179,0.0,0.138,19.0,0.138,20.0,0.069,176.0,2.0,1.0,355.0,156.0,2.036
14,fechner,reliefF,12,0.426,0.0,0.326,18.0,0.307,21.0,0.059,307.0,0.165,2.0,0.138,19.0,0.138,20.0,0.069,176.0,3.0,1.0,286.0,156.0,1.997
4,su,gini,7,0.097,9.0,0.09,19.0,0.085,24.0,0.064,72.0,0.125,9.0,0.102,19.0,0.085,33.0,0.062,92.0,5.0,14.0,48.0,59.0,0.947
5,su,chi2,7,0.097,9.0,0.09,19.0,0.085,24.0,0.064,72.0,0.814,9.0,0.664,19.0,0.548,33.0,0.393,92.0,5.0,14.0,48.0,59.0,0.947
3,su,igain,7,0.097,9.0,0.09,19.0,0.085,24.0,0.064,72.0,0.142,9.0,0.117,19.0,0.105,27.0,0.079,74.0,5.0,8.0,48.0,47.0,0.849
0,su,fechner,7,0.097,9.0,0.09,19.0,0.085,24.0,0.067,64.0,0.38,9.0,0.312,19.0,0.282,27.0,0.214,74.0,5.0,8.0,40.0,47.0,0.84
8,su,anova,6,0.097,9.0,0.09,19.0,0.085,24.0,0.067,63.0,0.73,9.0,0.511,18.0,0.431,25.0,0.316,44.0,5.0,7.0,39.0,19.0,0.684
2,su,pearson,6,0.097,9.0,0.09,19.0,0.085,24.0,0.067,63.0,0.41,9.0,0.352,18.0,0.327,25.0,0.284,44.0,5.0,7.0,39.0,19.0,0.684
1,su,spearman,6,0.097,9.0,0.09,19.0,0.085,24.0,0.067,63.0,0.429,9.0,0.363,18.0,0.342,24.0,0.309,41.0,5.0,6.0,39.0,17.0,0.667
25,pearson,gini,1,0.342,19.0,0.342,19.0,0.322,27.0,0.322,27.0,0.102,18.0,0.102,18.0,0.085,33.0,0.085,33.0,8.0,15.0,0.0,0.0,0.406
26,pearson,chi2,1,0.342,19.0,0.342,19.0,0.322,27.0,0.322,27.0,0.664,18.0,0.664,18.0,0.548,33.0,0.548,33.0,8.0,15.0,0.0,0.0,0.406
41,chi2,anova,1,0.664,18.0,0.664,18.0,0.548,33.0,0.548,33.0,0.479,19.0,0.479,19.0,0.417,27.0,0.417,27.0,15.0,8.0,0.0,0.0,0.406
38,gini,anova,1,0.102,18.0,0.102,18.0,0.085,33.0,0.085,33.0,0.479,19.0,0.479,19.0,0.417,27.0,0.417,27.0,15.0,8.0,0.0,0.0,0.406
