,score,features_number,model
0,0.0,1,pmelif
1,0.0,1,melif
2,0.0,2,pmelif
3,0.0,2,melif
4,0.0,3,pmelif
5,0.0,3,melif
6,0.0,4,pmelif
7,0.0,4,melif
8,0.0,5,pmelif
9,0.0,5,melif
10,0.0,6,pmelif
11,0.0,6,melif
12,0.0,7,pmelif
13,0.0,7,melif
14,0.0,8,pmelif
15,0.0,8,melif
16,0.0,9,pmelif
17,0.0,9,melif
18,0.0,10,pmelif
19,0.0,10,melif
20,0.0,1,pmelif
21,0.0,1,melif
22,0.0,2,pmelif
23,0.0,2,melif
24,0.0,3,pmelif
25,0.0,3,melif
26,0.0,4,pmelif
27,0.0,4,melif
28,0.0,5,pmelif
29,0.0,5,melif
30,0.0,6,pmelif
31,0.0,6,melif
32,0.0,7,pmelif
33,0.0,7,melif
34,0.0,8,pmelif
35,0.0,8,melif
36,0.0,9,pmelif
37,0.0,9,melif
38,0.0,10,pmelif
39,0.0,10,melif
40,0.0,1,pmelif
41,0.0,1,melif
42,0.0,2,pmelif
43,0.0,2,melif
44,0.0,3,pmelif
45,0.0,3,melif
46,0.0,4,pmelif
47,0.0,4,melif
48,0.0,5,pmelif
49,0.0,5,melif
50,0.0,6,pmelif
51,0.0,6,melif
52,0.0,7,pmelif
53,0.0,7,melif
54,0.0,8,pmelif
55,0.0,8,melif
56,0.0,9,pmelif
57,0.0,9,melif
58,0.0,10,pmelif
59,0.0,10,melif
60,0.0,1,pmelif
61,0.0,1,melif
62,0.0,2,pmelif
63,0.0,2,melif
64,0.1,3,pmelif
65,0.1,3,melif
66,0.1,4,pmelif
67,0.1,4,melif
68,0.1,5,pmelif
69,0.1,5,melif
70,0.1,6,pmelif
71,0.1,6,melif
72,0.1,7,pmelif
73,0.1,7,melif
74,0.1,8,pmelif
75,0.1,8,melif
76,0.1,9,pmelif
77,0.1,9,melif
78,0.1,10,pmelif
79,0.1,10,melif
80,0.0,1,pmelif
81,0.0,1,melif
82,0.0,2,pmelif
83,0.0,2,melif
84,0.0,3,pmelif
85,0.0,3,melif
86,0.0,4,pmelif
87,0.0,4,melif
88,0.0,5,pmelif
89,0.0,5,melif
90,0.0,6,pmelif
91,0.0,6,melif
92,0.0,7,pmelif
93,0.0,7,melif
94,0.1,8,pmelif
95,0.1,8,melif
96,0.1,9,pmelif
97,0.1,9,melif
98,0.1,10,pmelif
99,0.1,10,melif
100,0.0,1,pmelif
101,0.0,1,melif
102,0.0,2,pmelif
103,0.0,2,melif
104,0.0,3,pmelif
105,0.0,3,melif
106,0.0,4,pmelif
107,0.0,4,melif
108,0.0,5,pmelif
109,0.0,5,melif
110,0.0,6,pmelif
111,0.0,6,melif
112,0.0,7,pmelif
113,0.0,7,melif
114,0.0,8,pmelif
115,0.0,8,melif
116,0.0,9,pmelif
117,0.0,9,melif
118,0.0,10,pmelif
119,0.0,10,melif
120,0.0,1,pmelif
121,0.0,1,melif
122,0.0,2,pmelif
123,0.0,2,melif
124,0.0,3,pmelif
125,0.0,3,melif
126,0.0,4,pmelif
127,0.0,4,melif
128,0.0,5,pmelif
129,0.0,5,melif
130,0.0,6,pmelif
131,0.0,6,melif
132,0.0,7,pmelif
133,0.0,7,melif
134,0.0,8,pmelif
135,0.0,8,melif
136,0.0,9,pmelif
137,0.0,9,melif
138,0.0,10,pmelif
139,0.0,10,melif
140,0.0,1,pmelif
141,0.0,1,melif
142,0.0,2,pmelif
143,0.0,2,melif
144,0.0,3,pmelif
145,0.0,3,melif
146,0.0,4,pmelif
147,0.0,4,melif
148,0.0,5,pmelif
149,0.0,5,melif
150,0.0,6,pmelif
151,0.0,6,melif
152,0.0,7,pmelif
153,0.0,7,melif
154,0.0,8,pmelif
155,0.0,8,melif
156,0.0,9,pmelif
157,0.0,9,melif
158,0.0,10,pmelif
159,0.0,10,melif
160,0.0,1,pmelif
161,0.0,1,melif
162,0.0,2,pmelif
163,0.0,2,melif
164,0.0,3,pmelif
165,0.0,3,melif
166,0.0,4,pmelif
167,0.0,4,melif
168,0.0,5,pmelif
169,0.0,5,melif
170,0.0,6,pmelif
171,0.0,6,melif
172,0.0,7,pmelif
173,0.0,7,melif
174,0.0,8,pmelif
175,0.0,8,melif
176,0.0,9,pmelif
177,0.0,9,melif
178,0.0,10,pmelif
179,0.0,10,melif
180,0.0,1,pmelif
181,0.0,1,melif
182,0.0,2,pmelif
183,0.0,2,melif
184,0.0,3,pmelif
185,0.0,3,melif
186,0.0,4,pmelif
187,0.0,4,melif
188,0.0,5,pmelif
189,0.0,5,melif
190,0.0,6,pmelif
191,0.0,6,melif
192,0.0,7,pmelif
193,0.0,7,melif
194,0.0,8,pmelif
195,0.0,8,melif
196,0.0,9,pmelif
197,0.0,9,melif
198,0.0,10,pmelif
199,0.0,10,melif
